1,Oscar,Castañeda,Zapata,oscarcas@gmail.com,4.5,4.3,3.5,2.8
2,Alberto,castellanos,Ochoa,albertocas@gmail.com,3.5,3.27,4.65,2.93
3,Mauricio,Beleño,Arevalo,mauriciobel@gmail.com,4.2,4.2,4.2,4.2
4,Manolo,Cadavid,Arango,manolocad@gmail.com,4.3,4.3,4.3,4.3
5,David,Castro,Cruz,davidcas@gmail.com,4.15,4.15,4.15,4.15
6,Luis,Calderon,Cortes,luiscal@gmail.com,4.16,4.16,4.16,4.16
7,Victor,Claro,Fuentes,victorcla@gmail.com,4.17,4.17,4.17,4.17
8,Enrique,Noriega,Claro,enriquenor@gmail.com,4.18,4.18,4.18,4.18
9,Andrea,Fuentes,Noriega,andreafue@gmail.com,4.19,4.19,4.19,4.19
10,Laura,Cortes,Calderon,lauracor@gmail.com,4.2,4.2,4.2,4.2
11,Clara,Cruz,Castro,claracru@gmail.com,4.21,4.21,4.21,4.21
12,Lina,Arango,Cadavid,linaara@gmail.com,4.22,4.22,4.22,4.22
13,Felipe,Arevalo,Beleño,felipeare@gmail.com,4.23,4.23,4.23,4.23
14,Maria,Ochoa,castellanos,mariaoch@gmail.com,4.24,4.24,4.24,4.24
15,Jose,Zapata,Castañeda,josezap@gmail.com,4.25,4.25,4.25,4.25
